Rank in 2020,Rank in 2019,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
  801-1000,  801-1000,Universidade Estadual de Londrina,Brazil,L,FC,HI,3,A,-,-,-,-,32,473,-,-,-,-,-,-,9 - 14.1
  801-1000,701-750,Universidade Federal de S„o Carlos,Brazil,L,FC,HI,3,A,-,-,-,-,24,588,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidade Federal de ViÁosa,Brazil,L,FC,HI,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidade Federal do Paran· (UFPR),Brazil,XL,FC,HI,5,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidade Federal do Pernambuco,Brazil,XL,FC,HI,4,A,-,-,-,-,28.5,527,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universidade Federal Fluminense,Brazil,XL,FC,HI,4,A,-,-,-,-,38.1,406,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universit‡ degli Studi di Catania (UniCT),Italy,L,FC,VH,5,A,-,-,-,-,-,-,31.6,424,-,-,-,-,9 - 14.1
  801-1000,701-750,Universit‡ degli Studi di Ferrara,Italy,L,FC,HI,5,A,-,-,-,-,-,-,51,220,-,-,-,-,9 - 14.1
  801-1000,,Universit‡ degli Studi di Salerno,Italy,L,FC,HI,4,A,-,-,-,-,-,-,35.3,383,-,-,-,-,9 - 14.1
  801-1000,,Universita degli Studi di Udine,Italy,M,CO,VH,3,,-,-,-,-,-,-,28.9,446,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universit‡ degli Studi Roma Tre,Italy,XL,CO,HI,3,A,17.8,469,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Universit‡† degli Studi di Palermo,Italy,L,,,5,A,-,-,-,-,-,-,26.5,466,-,-,-,-,9 - 14.1
  801-1000,,Universit‰t Siegen,Germany,L,,,,,-,-,-,-,-,-,-,-,37.1,415,23.7,489,9 - 14.1
  801-1000,  801-1000,UniversitÈ de Nantes,France,XL,CO,VH,5,A,-,-,-,-,-,-,-,-,18.3,568,20.7,519,9 - 14.1
  801-1000,  801-1000,UniversitÈ de Poitiers,France,L,CO,HI,5,A,-,-,-,-,-,-,-,-,,-,37.4,368,9 - 14.1
  801-1000,701-750,UniversitÈ de Rennes 1,France,L,CO,VH,5,A,-,-,-,-,-,-,-,-,16.7,592,16.6,574,9 - 14.1
  801-1000,  801-1000,UniversitÈ LumiËre Lyon 2,France,L,SP,HI,5,A,-,-,-,-,-,-,-,-,25.5,495,-,-,9 - 14.1
  801-1000,  801-1000,UniversitÈ Paul-ValÈry Montpellier 3,France,L,FO,MD,5,A,-,-,-,-,-,-,-,-,18.9,560,85.5,126,9 - 14.1
  801-1000,  801-1000,"UniversitÈ Toulouse 1, Capitole",France,L,FO,MD,5,A,-,-,-,-,-,-,-,-,38.2,408,61.9,224,9 - 14.1
  801-1000,,Universiti Malaysia Sarawak (UNIMAS),Malaysia,L,FC,MD,3,A,-,-,-,-,-,-,-,-,36.8,417,-,-,9 - 14.1
  801-1000,701-750,Universiti Tenaga Nasional (UNITEN),Malaysia,M,SP,HI,2,C,-,-,-,-,32.1,472,-,-,16.2,598,14.6,600,9 - 14.1
  801-1000,,Universiti Tunku Abdul Rahman (UTAR),Malaysia,L,FC,MD,2,B,-,-,22.5,415,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Arkansas Fayetteville,United States,L,CO,VH,5,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Bahrain,Bahrain,L,CO,MD,3,A,-,-,19.4,474,-,-,-,-,98.2,99,22.3,502,9 - 14.1
  801-1000,  801-1000,University of Bari,Italy,L,FC,HI,4,A,-,-,-,-,-,-,25.8,475,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Belgrade,Serbia,XL,FC,VH,5,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,University of Brighton,United Kingdom,L,CO,HI,,,-,-,-,-,-,-,-,-,59.2,299,56.3,258,9 - 14.1
  801-1000,  801-1000,University of Bucharest,Romania,XL,FO,VH,5,A,17.6,474,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Calcutta,India,L,CO,VH,5,A,-,-,-,-,-,-,18.6,572,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Central Lancashire,United Kingdom,L,CO,HI,3,A,-,-,-,-,26.3,565,-,-,32.3,441,50.3,287,9 - 14.1
  801-1000,  801-1000,University of Dhaka,Bangladesh,XL,FC,MD,4,A,-,-,20.9,441,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Engineering & Technology (UET) Lahore,Pakistan,L,FO,HI,4,A,-,-,26,363,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Gdansk,Poland,L,FO,VH,3,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,701-750,University of Kufa,Iraq,L,FC,MD,3,A,-,-,-,-,43.6,350,-,-,-,-,-,-,9 - 14.1
  801-1000,751-800,University of Kwazulu-Natal,South Africa,XL,FC,HI,3,A,-,-,-,-,-,-,19.2,564,33.3,438,-,-,9 - 14.1
  801-1000,  801-1000,University of Latvia,Latvia,L,FC,MD,5,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,,University of Lincoln,United Kingdom,L,CO,HI,5,A,-,-,-,-,-,-,-,-,75.5,233,-,-,9 - 14.1
  801-1000,  801-1000,University of Lodz,Poland,L,CO,HI,4,,-,-,-,-,27.5,547,-,-,-,-,-,-,9 - 14.1
  801-1000,,University of Malaysia Sabah (UMS),Malaysia,L,FC,MD,3,A,-,-,-,-,-,-,-,-,24.7,503,-,-,9 - 14.1
  801-1000,  801-1000,University of Mississippi,United States,L,CO,VH,5,A,-,-,-,-,36.6,427,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Montana Missoula,United States,M,,,5,A,-,-,-,-,-,-,22.6,512,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of Mumbai,India,M,FC,MD,5,A,-,-,25.5,375,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of New England,Australia,L,CO,HI,5,A,-,-,-,-,-,-,25.5,479,-,-,-,-,9 - 14.1
  801-1000,751-800,University of New Hampshire,United States,L,CO,VH,5,A,-,-,-,-,-,-,30.9,429,-,-,-,-,9 - 14.1
  801-1000,,University of Ostrava,Czech Republic,M,CO,HI,3,A,-,-,-,-,32.7,465,-,-,16.1,599,-,-,9 - 14.1
  801-1000,,University of Parma,Italy,L,FC,HI,5,,-,-,-,-,-,-,38.6,338,-,-,-,-,9 - 14.1
  801-1000,,University of Peradeniya,Sri Lanka,L,CO,HI,3,A,-,-,-,-,23.6,596,-,-,,-,-,-,9 - 14.1
  801-1000,751-800,University of Salford,United Kingdom,L,CO,HI,4,A,-,-,-,-,-,-,-,-,32,446,55.7,263,9 - 14.1
  801-1000,  801-1000,University of San Diego,United States,M,CO,HI,4,B,-,-,-,-,26.2,567,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of San Francisco,United States,M,CO,HI,5,B,-,-,-,-,-,-,-,-,-,-,38.3,356,9 - 14.1
  801-1000,  801-1000,University of Santo Tomas,Philippines,XL,FC,LO,5,B,-,-,18.2,496,-,-,-,-,21.7,527,-,-,9 - 14.1
  801-1000,  801-1000,University of Silesia,Poland,L,CO,HI,4,A,-,-,-,-,36,432,-,-,,-,-,-,9 - 14.1
  801-1000,  801-1000,University of the Pacific,United States,M,CO,HI,5,B,-,-,-,-,45.2,330,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of the Punjab,Pakistan,L,CO,HI,5,A,-,-,20.2,452,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University of the Western Cape,South Africa,L,CO,HI,4,A,-,-,-,-,-,-,20.5,548,28.7,473,-,-,9 - 14.1
  801-1000,  801-1000,University of Wroclaw,Poland,L,CO,VH,4,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,University Toulouse ñ Jean JaurËs,France,XL,FO,MD,5,A,-,-,-,-,-,-,-,-,34.6,428,34.2,397,9 - 14.1
  801-1000,  801-1000,Utah State University,United States,L,CO,VH,5,A,-,-,-,-,-,-,33.5,398,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Vellore Institute of Technology (VIT),India,XL,FO,VH,3,B,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Verona University,Italy,L,FC,HI,3,A,-,-,-,-,-,-,31,427,-,-,-,-,9 - 14.1
  801-1000,  801-1000,"Vietnam National University, Hanoi",Vietnam,XL,FO,HI,3,A,-,-,-,-,-,-,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Voronezh State University,Russia,L,CO,HI,5,A,-,-,-,-,37.3,420,-,-,-,-,16.3,580,9 - 14.1
  801-1000,  801-1000,Vytautas Magnus University,Lithuania,M,FO,VH,4,A,-,-,-,-,-,-,-,-,17.4,583,-,-,9 - 14.1
  801-1000,,Warsaw University of Life Sciences,Poland,L,FO,VH,5,A,-,-,-,-,28.8,521,-,-,-,-,-,-,9 - 14.1
  801-1000,  801-1000,Wroc?aw University of Science and Technology,Poland,L,FO,VH,5,A,-,-,-,-,26.3,564,-,-,-,-,-,-,9 - 14.1
  801-1000,,Wuhan University of Technology,China,XL,FO,VH,2,A,-,-,-,-,-,-,18.9,569,-,-,-,-,9 - 14.1
  801-1000,,Xi'an Jiaotong-Liverpool University,China,M,CO,HI,2,B,-,-,-,-,-,-,-,-,100,33,-,-,9 - 14.1
  801-1000,  801-1000,Yeungnam University,South Korea,L,FC,HI,4,C,-,-,-,-,-,-,23.4,503,21.9,524,-,-,9 - 14.1
N/A,N/A,Baylor College of Medicine,United States,S,SP,VH,5,B,-,-,-,-,100,1,17.5,599,,-,28.2,450,-
N/A,N/A,BI Norwegian Business School,Norway,L,SP,VH,4,B,-,-,-,-,-,-,17.9,589,82.3,206,20.2,529,-
N/A,N/A,Central European University,Hungary,S,FO,VH,3,B,18.9,440,-,-,93.4,68,37.5,354,100,27,100,4,-
N/A,N/A,Copenhagen Business School,Denmark,L,SP,VH,5,A,-,-,20.8,444,-,-,43.8,289,87.4,181,69.4,186,-
N/A,N/A,Cranfield University,United Kingdom,S,CO,VH,4,A,-,-,25.8,367,99.5,37,52.2,202,98.9,83,100,8,-
N/A,N/A,ESCP Europe,France,S,SP,LO,5,B,-,-,47.5,179,-,-,-,-,100,17,99.9,26,-
N/A,N/A,"ESSEC Business School, Paris",France,M,SP,VH,5,B,-,-,68.7,101,-,-,41.3,319,99.6,65,90.5,108,-
N/A,N/A,"Grenoble INP, Grenoble Institute of Technology",France,M,SP,HI,5,A,-,-,27.5,340,-,-,-,-,34.4,431,77.6,155,-
N/A,N/A,HEC Paris,France,S,SP,VH,5,B,16.8,490,93.3,40,-,-,55.7,176,100,28,100,18,-
N/A,N/A,INSEAD (France),France,S,SP,VH,4,B,22.6,369,89.5,51,77.7,154,49.5,235,100,6,100,1,-
N/A,N/A,Jawaharlal Nehru University,India,M,CO,VH,4,A,29.3,290,-,-,40.4,381,19,566,,-,-,-,-
N/A,N/A,Karolinska Institute,Sweden,M,SP,VH,5,A,41.6,192,18.1,497,99.8,31,90.4,31,89.5,172,62.9,218,-
N/A,N/A,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,S,FO,VH,2,B,21.1,390,-,-,84.8,115,100,1,100,3,100,9,-
N/A,N/A,London Business School,United Kingdom,S,SP,VH,4,A,23.8,352,90.5,48,-,-,94.6,23,100,15,100,2,-
N/A,N/A,Stockholm School of Economics,Sweden,S,SP,VH,5,B,-,-,25.3,377,-,-,58.3,155,87.7,180,29.5,434,-
N/A,N/A,Universit‡ Commerciale Luigi Bocconi,Italy,L,SP,VH,5,B,24.6,343,82.2,70,-,-,19.9,558,38.7,405,28.9,439,-
N/A,N/A,"UniversitÈ de Technologie, CompiËgne (UTC)",France,S,SP,VH,3,A,-,-,18,499,38.4,404,25.4,481,,-,35.6,382,-
N/A,,UniversitÈ Sorbonne Nouvelle Paris 3,France,L,SP,VH,,,37.7,219,19.5,471,-,-,-,-,,-,98.5,49,-
N/A,N/A,"University of California, San Francisco (UCSF)",United States,S,SP,VH,5,A,45.6,174,-,-,100,2,57.5,160,45.3,354,-,-,-
N/A,N/A,"University of Economics, Prague",Czech Republic,L,SP,VH,4,A,-,-,23,410,-,-,-,-,-,-,43.9,324,-
N/A,N/A,Weizmann Institute of Science,Israel,S,FO,VH,4,A,20.8,398,-,-,100,3,89.4,35,,-,,-,-
N/A,N/A,WHU Otto Beisheim School of Management - Koblenz,Germany,S,SP,VH,3,,-,-,27.4,341,-,-,45.4,274,95.1,132,28.4,447,-
